c:\john\code\logwiz\logwizard\ui\Dummy.cs(44): 11:35:38,307 9          INFO  - Started LogWizard v1.2.24.0
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,879 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Fast-b66195c3f8590f161b5ef3cf2e23ac67-37430
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,880 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Name-small.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,881 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Fast-b66195c3f8590f161b5ef3cf2e23ac67-37430
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,881 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Name-small.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,882 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\small.log -> Fast-b66195c3f8590f161b5ef3cf2e23ac67-37430
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,883 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\uk_small.log -> Name-uk_small.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,884 9          DEBUG - [md5] computed md5 for C:\john\code\buff\lw-tests\uk_small.log -> Fast-a7a5a745faaaf67d38bdee5833c65af4-5725641
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,885 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\LogWizard\LogWizardSetupSample.log -> Name-LogWizardSetupSample.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,886 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\LogWizard\LogWizardSetupSample.log -> Fast-930cd272bb71ed0eba01b3b126afce0f-262757
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,887 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\LogWizard\zip\TableNinja2.log.635793933129566799.txt -> Name-TableNinja2.log.635793933129566799.txt
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,888 9          DEBUG - [md5] computed md5 for C:\Users\meeee\AppData\Roaming\LogWizard\zip\TableNinja2.log.635793933129566799.txt -> Fast-f56306286166c9c0afb938b58351fe75-27546
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,889 9          DEBUG - [md5] computed md5 for C:\john\code\buff\319\TNLogs-SONY-VAIO-sony-635793169428961765\TableNinja2.log -> Name-TableNinja2.log
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(128): 11:35:38,890 9          DEBUG - [md5] computed md5 for C:\john\code\buff\319\TNLogs-SONY-VAIO-sony-635793169428961765\TableNinja2.log -> Fast-309068a75217f0cdc6396905c5591098-80304
c:\john\code\logwiz\logwizard\lw_common\notes\md5_log_keeper.cs(137): 11:35:38,891 9          DEBUG - [md5] computed md5 for C:\Users\meeee\Downloads\ipokerlog.txt -> Name-ipokerlog.txt
